yearmo,SENT,SENT_ORTH
199806,0.1533716768026352,0.18991202116012573
199807,0.3143264055252075,0.36962923407554626
199808,0.3720865845680237,0.3505692481994629
199809,0.30676543712615967,0.34739136695861816
199810,0.20621943473815918,0.2812751829624176
199811,0.022794412449002266,0.06158272922039032
199812,-0.20337341725826263,-0.17343668639659882
199901,-0.18409578502178192,-0.1048952117562294
199902,-0.055080339312553406,0.021602613851428032
199903,-0.09120139479637146,-0.03527896851301193
199904,-0.1652945876121521,-0.1716061234474182
199905,-0.18269382417201996,-0.24113492667675018
199906,-0.060867130756378174,-0.10488859564065933
199907,-0.14103031158447266,-0.17314936220645905
199908,-0.31272590160369873,-0.3240340054035187
199909,-0.08450669050216675,-0.14715790748596191
199910,-0.1812572330236435,-0.30877983570098877
199911,-0.0012171735288575292,-0.14519840478897095
199912,0.26666727662086487,-0.0015815283404663205
200001,0.6792094111442566,0.6023473143577576
200002,0.5907240509986877,0.44392189383506775
200003,0.948711633682251,0.8294954895973206
200004,0.4932469129562378,0.3519001007080078
200005,0.7924152612686157,0.6513054370880127
200006,1.050336480140686,0.9075478911399841
200007,1.2970699071884155,1.2571440935134888
200008,1.2645050287246704,1.2130284309387207
200009,1.2910027503967285,1.1911627054214478
200010,1.3094151020050049,1.3384476900100708
200011,1.769058346748352,1.832578182220459
200012,1.9680638313293457,1.933380365371704
200101,2.203676700592041,2.259585380554199
200102,2.8727684020996094,2.946213722229004
200103,2.636307716369629,2.7141220569610596
200104,2.1983728408813477,2.3559060096740723
200105,2.049535036087036,1.9065204858779907
200106,2.3970983028411865,2.3119616508483887
200107,2.2265422344207764,2.112823724746704
200108,2.3375799655914307,2.150381088256836
200109,2.209484577178955,2.1557459831237793
200110,1.9794045686721802,1.7426339387893677
200111,1.2739369869232178,1.0804917812347412
200112,0.9753453135490417,0.7585136294364929
200201,1.2736927270889282,1.3734468221664429
200202,0.623900830745697,0.6292951703071594
200203,0.30960190296173096,0.36626696586608887
200204,0.44462496042251587,0.47951245307922363
200205,0.36285701394081116,0.35792481899261475
200206,0.41857755184173584,0.34922730922698975
200207,0.012364095076918602,-0.061715494841337204
200208,-0.06047917529940605,-0.11345517635345459
200209,-0.534026563167572,-0.4891210198402405
200210,-0.3820532262325287,-0.6765016317367554
200211,-0.19541151821613312,-0.3524138629436493
200212,-0.27890488505363464,-0.2694408893585205
200301,-0.26857641339302063,-0.27552372217178345
200302,-0.44721436500549316,-0.4214229881763458
200303,-0.30989325046539307,-0.2505200207233429
200304,-0.5943769216537476,-0.5817912817001343
200305,-0.5932533740997314,-0.455477237701416
200306,-0.572907567024231,-0.4560149610042572
200307,-0.7109227776527405,-0.6855294704437256
200308,-0.8373374938964844,-0.8625932931900024
200309,-0.6814566254615784,-0.5658511519432068
200310,-0.6151218414306641,-0.489829421043396
200311,-0.5254777669906616,-0.4813152849674225
200312,-0.6981936693191528,-0.7301477193832397
200401,-0.5202195644378662,-0.4637734889984131
200402,-0.35432714223861694,-0.23613859713077545
200403,-0.44244685769081116,-0.3847505748271942
200404,-0.303081750869751,-0.283319890499115
200405,-0.2900669276714325,-0.2404518872499466
200406,-0.18794293701648712,-0.11399365216493607
200407,0.03590891882777214,0.0436142198741436
200408,0.2024422585964203,0.0795431062579155
200409,0.16769325733184814,0.1040414422750473
200410,0.17689265310764313,0.17046111822128296
200411,0.19536042213439941,0.17637571692466736
200412,0.1927824467420578,0.14780761301517487
200501,0.28989335894584656,0.24943877756595612
200502,0.22551074624061584,0.20049995183944702
200503,0.21064448356628418,0.1356291025876999
200504,0.22027799487113953,0.2250375598669052
200505,0.228574737906456,0.18380992114543915
200506,0.21662622690200806,0.2516055405139923
200507,0.03576977923512459,0.0831979513168335
200508,0.07695892453193665,0.16645598411560059
200509,0.12329155206680298,0.3070114254951477
200510,0.15753677487373352,0.2931598126888275
200511,0.18227623403072357,0.27143990993499756
200512,0.2306361198425293,0.2815600633621216
200601,0.16622160375118256,0.3166966140270233
200602,0.07885220646858215,0.19752417504787445
200603,0.022433247417211533,0.13947486877441406
200604,0.024171801283955574,0.0651136264204979
200605,0.15958254039287567,0.27463966608047485
200606,0.2098608762025833,0.24812200665473938
200607,0.2960209548473358,0.21038387715816498
200608,0.31295040249824524,0.4037560522556305
200609,0.35580605268478394,0.38209474086761475
200610,0.33671143651008606,0.38083115220069885
200611,0.4200975000858307,0.5405097603797913
200612,0.422164648771286,0.5075698494911194
200701,0.4797850549221039,0.44463521242141724
200702,0.703490138053894,0.736167848110199
200703,0.7647298574447632,0.8497136235237122
200704,0.8803716897964478,0.9555695056915283
200705,0.6156248450279236,0.7534805536270142
200706,0.6321383714675903,0.7839797139167786
200707,0.520396888256073,0.6028211116790771
200708,0.42058834433555603,0.5224972367286682
200709,0.35194340348243713,0.445147842168808
200710,0.32620885968208313,0.44726982712745667
200711,0.3107422888278961,0.4510108232498169
200712,0.24952487647533417,0.3771105408668518
200801,0.3833368420600891,0.4835658073425293
200802,0.44366008043289185,0.31999945640563965
200803,0.35503441095352173,0.19033117592334747
200804,0.242238387465477,0.10789821296930313
200805,0.17438507080078125,-0.0025028837844729424
200806,0.1544576734304428,0.07265253365039825
200807,0.10929617285728455,0.05916890874505043
200808,0.12993180751800537,0.12270975857973099
200809,-0.2087443619966507,-0.1304955929517746
200810,-0.22001239657402039,-0.28224289417266846
200811,-0.6436117887496948,-0.7636467218399048
200812,-0.5175003409385681,-0.5709619522094727
200901,-0.4788443446159363,-0.4610995352268219
200902,-0.6977798938751221,-0.6101393103599548
200903,-0.6819486618041992,-0.5976444482803345
200904,-0.8620434403419495,-0.7992037534713745
200905,-0.816032350063324,-0.800946056842804
200906,-0.8304743766784668,-0.8167259693145752
200907,-0.6003128290176392,-0.5915806889533997
200908,-0.665452778339386,-0.5106662511825562
200909,-0.7069078683853149,-0.5684365034103394
200910,-0.8820967078208923,-0.6045869588851929
200911,-0.9669202566146851,-0.5889290571212769
200912,-0.9464897513389587,-0.7189041376113892
201001,-0.9098151326179504,-0.8960027694702148
201002,-0.864773154258728,-0.9024889469146729
201003,-0.8915697932243347,-0.9182968735694885
201004,-0.639886736869812,-0.6948333382606506
201005,-0.6203413605690002,-0.7932547330856323
201006,-0.35724303126335144,-0.5605098009109497
201007,-0.3744107484817505,-0.5677810907363892
201008,-0.24019251763820648,-0.5502132177352905
201009,-0.21251265704631805,-0.21894919872283936
201010,-0.32736822962760925,-0.29624757170677185
201011,-0.4131586253643036,-0.37964051961898804
201012,-0.3310316503047943,-0.23915736377239227
201101,-0.30689749121665955,-0.10136757791042328
201102,-0.233649343252182,0.03547605127096176
201103,-0.19474835693836212,-0.052901655435562134
201104,-0.21072733402252197,0.004174469504505396
201105,-0.05722186714410782,0.24650375545024872
201106,-0.13267828524112701,0.1455279290676117
201107,-0.1551140397787094,0.1102759838104248
201108,-0.17584772408008575,0.06453046202659607
201109,-0.09243142604827881,0.12525153160095215
201110,-0.1532171219587326,-0.03928970918059349
201111,-0.33166226744651794,-0.20471519231796265
201112,-0.3736056089401245,-0.2330295592546463
201201,-0.33716902136802673,-0.2731150984764099
201202,-0.24712048470973969,-0.23547397553920746
201203,-0.24126659333705902,-0.1788875311613083
201204,-0.24269533157348633,-0.2227066159248352
201205,-0.23626106977462769,-0.1745443344116211
201206,-0.37407127022743225,-0.28619855642318726
201207,-0.23797281086444855,-0.1364104151725769
201208,-0.2476959526538849,-0.04627084732055664
201209,-0.25063052773475647,-0.07069458812475204
201210,-0.182759627699852,-0.014551335945725441
201211,-0.3264005780220032,-0.1886524111032486
201212,-0.3552125096321106,-0.19368863105773926
201301,-0.2596897780895233,-0.14247748255729675
201302,-0.13140800595283508,-0.031214265152812004
201303,-0.06928078085184097,-0.013033912517130375
201304,-0.17350177466869354,-0.07417719066143036
201305,-0.11805357038974762,-0.011097986251115799
201306,-0.057927802205085754,0.09014905244112015
201307,-0.150046244263649,0.017331352457404137
201308,-0.05106276273727417,0.04992883652448654
201309,-0.02854430489242077,0.01876971311867237
201310,-0.08542675524950027,-0.015300361439585686
201311,-0.1503240019083023,-0.13170474767684937
