ym,cape,gs10
192506,9.796386180450611,3.785
192507,9.9639938917878,3.77
192508,10.110918458488943,3.7550000000000003
192509,10.359247611348502,3.74
192510,10.718495997022927,3.725
192511,10.886317440307932,3.71
192512,11.147365239137253,3.6950000000000003
192601,11.340966188506236,3.68
192602,11.389435672748013,3.651666666666667
192603,10.712352062732489,3.6233333333333335
192604,10.395587685954737,3.595
192605,10.575158463806105,3.566666666666667
192606,11.197979740229965,3.5383333333333336
192607,11.869694058481281,3.51
192608,12.488808219521882,3.4816666666666665
192609,12.692614823344726,3.453333333333333
192610,12.426517521583357,3.425
192611,12.615251212344491,3.3966666666666665
192612,13.009052728993137,3.3683333333333327
192701,13.185930628677799,3.34
192702,13.633966132216223,3.339166666666666
192703,14.033257507604493,3.3383333333333334
192704,14.488222209157062,3.3375
192705,15.002347055737118,3.336666666666667
192706,15.120333481747526,3.3358333333333334
192707,15.820802594477751,3.335
192708,16.862861852763807,3.3341666666666665
192709,17.818723713516434,3.3333333333333335
192710,17.537237852261097,3.3325
192711,18.131301434952434,3.3316666666666666
192712,18.64662402140254,3.3308333333333335
192801,18.80612857170078,3.33
192802,18.868850519584047,3.3525
192803,19.94341779906455,3.375
192804,21.257909249487504,3.3975
192805,21.832732178740038,3.42
192806,20.913421576866714,3.4425
192807,21.081905435296804,3.465
192808,21.762131502579248,3.4875
192809,23.00464944615924,3.51
192810,23.578344239585046,3.5324999999999998
192811,25.121984571109596,3.555
192812,25.301591027426152,3.5775
192901,27.083199620832776,3.6
192902,27.13167279824739,3.5741666666666667
192903,27.67574843786187,3.5483333333333333
192904,27.568454472898292,3.5225
192905,27.698586875008125,3.4966666666666666
192906,27.93546783028868,3.470833333333333
192907,29.93328940684221,3.4450000000000003
192908,31.480313247173008,3.4191666666666665
192909,32.56378859877671,3.3933333333333335
192910,28.961067164354795,3.3674999999999997
192911,21.17103600009704,3.341666666666667
192912,22.00737317641834,3.315833333333333
193001,22.310724294336858,3.29
193002,23.69711774933589,3.2941666666666665
193003,24.586607792668854,3.2983333333333333
193004,25.84343686201832,3.3024999999999998
193005,24.309760633908184,3.3066666666666666
193006,21.866899333389487,3.310833333333333
193007,21.548797592546656,3.3150000000000004
193008,21.30060224111816,3.319166666666667
193009,21.072581788447327,3.3233333333333333
193010,18.214870154658634,3.3275
193011,16.939711377775176,3.3316666666666666
193012,16.05500185653133,3.3358333333333325
193101,16.705478731547622,3.34
193102,18.161492436976097,3.3683333333333327
193103,18.57956103279129,3.3966666666666665
193104,16.87231533160967,3.425
193105,15.401539999110119,3.453333333333333
193106,15.062476074643255,3.4816666666666665
193107,15.516750095516326,3.51
193108,15.006276602886548,3.5383333333333336
193109,12.817745261106888,3.566666666666667
193110,11.145926407660932,3.595
193111,11.41560029564468,3.6233333333333335
193112,9.306032867968321,3.651666666666667
193201,9.312406455177848,3.68
193202,9.336932251008408,3.649166666666667
193203,9.413065028012216,3.6183333333333336
193204,7.192233196115491,3.5875000000000004
193205,6.390857289881446,3.5566666666666666
193206,5.5650593715289665,3.525833333333334
193207,5.8387636718512015,3.495
193208,8.834653205181214,3.464166666666667
193209,9.761168564063711,3.4333333333333336
193210,8.478606607689084,3.4025
193211,8.4633095671229,3.3716666666666666
193212,8.257073999100685,3.3408333333333338
193301,8.72804616281353,3.31
193302,7.826051751316599,3.2941666666666674
193303,7.87468132294317,3.2783333333333333
193304,8.723101646068114,3.2624999999999997
193305,11.249651251932447,3.2466666666666666
193306,13.09887551726952,3.2308333333333334
193307,13.754304493874537,3.215
193308,12.99952705036774,3.1991666666666667
193309,12.92292061488599,3.1833333333333336
193310,11.696253568143698,3.1675000000000004
193311,12.011766193389938,3.151666666666667
193312,12.281801622601114,3.1358333333333333
193401,13.02511982833238,3.12
193402,13.926922904274294,3.0925
193403,13.254537629740089,3.065
193404,13.518389284490091,3.0375000000000005
193405,12.181583235024025,3.0100000000000002
193406,12.287726483952426,2.9825
193407,11.741524229318244,2.955
193408,11.315025981829047,2.9275
193409,10.909954083288843,2.9000000000000004
193410,11.10835260535173,2.8724999999999996
193411,11.448808690205704,2.8449999999999998
193412,11.63933756647589,2.8175
193501,11.495907968201598,2.79
193502,11.087812159055568,2.7783333333333333
193503,10.398272404790033,2.7666666666666666
193504,11.104210207149519,2.755
193505,11.985576683480094,2.743333333333333
193506,12.539519324443889,2.731666666666667
193507,13.202137936511006,2.72
193508,14.105056846668951,2.708333333333333
193509,14.418891702707432,2.6966666666666668
193510,14.826232627114088,2.685
193511,16.12960516325114,2.6733333333333333
193512,16.159192714615326,2.6616666666666666
193601,17.087359845997245,2.65
193602,18.10453645951779,2.6525
193603,18.66047820392602,2.6550000000000002
193604,18.718999665151493,2.6574999999999998
193605,17.75019251932864,2.66
193606,18.39300106583134,2.6625
193607,19.360464512319133,2.665
193608,19.623060162983755,2.6675000000000004
193609,19.862024243287628,2.67
193610,20.913091852533118,2.6725000000000003
193611,21.49976534102416,2.675
193612,21.12566354815544,2.6774999999999998
193701,21.618741582953508,2.68
193702,22.24422155280516,2.67
193703,22.042197016050576,2.66
193704,20.556579457432868,2.6500000000000004
193705,19.474174686572113,2.64
193706,18.71165996036497,2.63
193707,19.646723279607635,2.62
193708,19.806982577380968,2.6100000000000003
193709,16.847882862705816,2.6
193710,14.361659574753363,2.59
193711,13.158119166486069,2.58
193712,13.008483033706138,2.57
193801,13.511461918562414,2.56
193802,13.263076236460867,2.5433333333333334
193803,12.377286234697683,2.5266666666666664
193804,11.789517720684183,2.51
193805,11.99227593054569,2.493333333333333
193806,12.288966307788128,2.4766666666666666
193807,14.770328017492066,2.46
193808,14.903588512604365,2.4433333333333334
193809,14.28233050863997,2.4266666666666667
193810,16.06114764333344,2.4099999999999997
193811,16.149571800715513,2.393333333333333
193812,15.756484438994008,2.3766666666666665
193901,15.599634410919288,2.36
193902,15.664696928954774,2.3474999999999997
193903,15.72922374321423,2.335
193904,13.91699457981241,2.3225
193905,14.502929499657785,2.31
193906,14.833828921489793,2.2975000000000003
193907,15.270952598570267,2.285
193908,15.120082343333998,2.2725
193909,16.452835577060974,2.26
193910,16.821204806265644,2.2475
193911,16.599238509946648,2.2350000000000003
