yyyymm,PLS_SENT,PLS_SENT_ORTH
198701,-0.118226595605344,-0.2342507225243917
198702,-0.1473835427346735,-0.1862847346582139
198703,-0.05563767033588888,-0.08269054426148921
198704,-0.008173054655602974,0.19610990048575
198705,-0.04043052894686042,0.08418659274677147
198706,-0.05034000493351304,-0.07430728965044175
198707,-0.08012411753657316,-0.0626480002897735
198708,-0.1092977710840405,-0.1486216661451862
198709,-0.1100816059840452,-0.03905888974242663
198710,-0.1643894574294963,-0.2849280313269485
198711,-0.2830120315523555,-0.2043363564845446
198712,-0.43536951086722,-0.5059310247047256
198801,-0.4496827806136723,-0.5440540319307918
198802,-0.4814610590007824,-0.7869462282505093
198803,-0.628067281504315,-0.8387205963759536
198804,-0.696973033873216,-0.965022840070741
198805,-0.8006980928229239,-0.9809907396455801
198806,-0.8711115331443768,-1.101545115463589
198807,-0.8588841739038594,-1.000010674047843
198808,-0.8870396871849406,-0.9643859533096315
198809,-0.9772863320212959,-0.8041741459914794
198810,-0.974112058281994,-0.7882439944740836
198811,-0.9311451338946745,-0.8552177003370808
198812,-0.8605454112722062,-0.6784027563119768
198901,-0.8810892437584416,-0.7242978757633242
198902,-0.8760325234333081,-0.5253938615996653
198903,-0.9913139558416761,-0.7798212798321332
198904,-0.998600568497093,-0.6337518651527643
198905,-1.022410741927003,-0.591147996283098
198906,-1.009009322004103,-0.5047327100295942
198907,-1.075353913100606,-0.5489221411390138
198908,-1.101444320297268,-0.6174376437424499
198909,-1.094676479201685,-0.7024744044927927
198910,-1.002533479993025,-0.6939934461360088
198911,-0.9932666258379165,-0.6734770559714107
198912,-0.9577722543702006,-0.5787590532587289
199001,-0.9233918046341415,-0.6553393984967393
199002,-0.9069384608178302,-0.5414565477282584
199003,-0.7392352966293887,-0.3582743205973778
199004,-0.7032607875407232,-0.6221282237159401
199005,-0.63185788841211,-0.6677198527590776
199006,-0.6852378310747712,-0.7448345315654273
199007,-0.7363808772766299,-0.853133847191324
199008,-0.6245200561765764,-1.497008256657885
199009,-0.6303716681510174,-1.476642031627871
199010,-0.6754456943590627,-1.393881093216639
199011,-0.764386685796519,-1.365646176758102
199012,-0.8454004758188837,-1.376795055768509
199101,-0.8474924564943382,-1.492495716853325
199102,-0.8789329828111578,-1.603362610355547
199103,-0.9041129005158176,-1.575125968529288
199104,-0.8851288297553633,-0.5055291170485177
199105,-0.761213794068227,-0.3354790644992942
199106,-0.6346431543390667,-0.2847416870664207
199107,-0.6219782075252975,-0.2988774944519944
199108,-0.6503727971658149,-0.05104341576088138
199109,-0.5673229862494593,-0.1673847238964177
199110,-0.472812551967967,-0.1458334938409715
199111,-0.3277035159191408,-0.213133441351691
199112,-0.1739632252012181,-0.04928365175715807
199201,-0.09585711396455152,0.1940577656018769
199202,0.02734005637885084,0.2324270069900355
199203,0.0980223472594021,0.0774094489107762
199204,0.1269698850399721,-0.01838374572274863
199205,0.05167725893648106,-0.07978794028438586
199206,-0.04985240444805836,-0.04182683823830255
199207,-0.03515286985095983,-0.05278966784068961
199208,0.02003212485234418,0.04444864164211515
199209,-0.00800471068657119,0.1540101133391775
199210,-0.02655991879770387,0.141844693330638
199211,-0.06031669004080879,0.1420435989521132
199212,-0.07126836477670696,0.09239941306542059
199301,-0.08676357649038592,-0.08824558317211455
199302,-0.09420428220912512,0.01135491880720048
199303,-0.1151638307684766,0.3682503818977453
199304,-0.1692138837342118,0.1458384705772778
199305,-0.2142618063436994,0.1200771789587782
199306,-0.261876298037017,-0.09139077151899459
199307,-0.256518094822856,0.04486435104110457
199308,-0.2876379193446446,-0.1425901763001707
199309,-0.2783447837881418,-0.1421163644142058
199310,-0.2809420234538621,-0.212472092869388
199311,-0.2413209116942326,-0.01657795733601703
199312,-0.1964065664169044,-0.07734274758207399
199401,-0.241164577660476,-0.0740311999009249
199402,-0.2572111054532085,-0.06942250053050522
199403,-0.2544093880862018,-0.1844456114591231
199404,-0.2101749528577102,-0.1942199501891044
199405,-0.1605705286103304,-0.2695136736994171
199406,-0.06441514622826768,0.003541614715589753
199407,-0.07864270936385405,-0.0645627406685277
199408,-0.1013019524117695,0.03852527192665755
199409,-0.1174005894620637,0.02351728371607355
199410,-0.1283397773063802,-0.06597683467240217
199411,-0.2219657049934386,-0.3262639641248828
199412,-0.3444285018183099,-0.3508866753926337
199501,-0.3510248350833495,-0.2895158764275912
199502,-0.4008481147934041,-0.4633954145048484
199503,-0.4998797591707595,-0.6120472629249641
199504,-0.5262311273264344,-0.5456153465993715
199505,-0.5885625632828244,-0.4796628867046781
199506,-0.6657842955383254,-0.714753263696483
199507,-0.6715674632837934,-0.7141407760212534
199508,-0.647317866869148,-0.9653256996172599
199509,-0.6246950607598984,-0.8691495200019504
199510,-0.5947430489306078,-0.7721394756867386
199511,-0.555985840990833,-0.6878078322093696
199512,-0.5389729932828349,-0.6911780504053988
199601,-0.5220462992585682,-0.6332232821205636
199602,-0.4902653963070811,-0.5131586134058526
199603,-0.4035953621216057,-0.3951267352835929
199604,-0.3118206033248672,-0.2829538821023141
199605,-0.1311514137487678,-0.1900536762329612
199606,0.005528697092562184,0.006032353540971216
199607,0.1007414562769715,0.09844121273270952
199608,0.1852223370148679,0.4167101594529208
199609,0.1795483265253199,0.2534559487301112
199610,0.192341828280552,0.4330267938834971
199611,0.3254769637817012,0.4950848582588715
199612,0.3888545220135415,0.4998956660150724
199701,0.4373460637299241,0.4719428826155099
199702,0.419126530133683,0.4032758510934529
199703,0.3599719612254085,0.2410916434710894
199704,0.3519335792851243,0.123908157960486
199705,0.3282430531293921,0.1362828860602323
199706,0.2396536245621252,0.09710860392546679
199707,0.160875647589024,-0.07468786849637246
199708,0.06700953923875264,-0.27312716929185
199709,0.07116607482508355,-0.1565416577761496
199710,0.02156738923636358,-0.5014936072236467
199711,-0.0763075103126744,-0.4882250403800141
199712,-0.1413120925310189,-0.5477994829800463
199801,-0.2050375614873405,-0.585257225796132
199802,-0.2298014693355621,-0.6410001029015443
199803,-0.2154833065668939,-0.6151769967416014
199804,-0.2924336059679516,-0.5182796403352868
199805,-0.3462742391250619,-0.5514167761846276
199806,-0.3322478187930287,-0.5384797496720036
199807,-0.3052711416026089,-0.383610252409708
199808,-0.2938619212337047,-0.4590381063971488
199809,-0.3490456134573861,-0.5094175624916801
199810,-0.3420369462673108,-0.3232278484847136
199811,-0.4402553051478423,-0.4475745675113205
199812,-0.4663453085166653,-0.3617710231344416
199901,-0.4894414765303799,-0.3450531973939857
199902,-0.4915411756809826,-0.2525492518467801
