ym,bullish,neutral,bearish,spread,n_weeks
201009,0.42612000000000005,0.2637,0.31018,0.11594000000000004,5
201010,0.49245,0.25417500000000004,0.25335,0.23909999999999998,4
201011,0.482975,0.22840000000000002,0.28865,0.19432499999999997,4
201012,0.53566,0.23959999999999998,0.22474,0.31092000000000003,5
201101,0.502525,0.23475000000000001,0.2627,0.239825,4
201102,0.460375,0.2509,0.288725,0.17164999999999997,4
201103,0.36160000000000003,0.29508,0.34328,0.01832000000000006,5
201104,0.38975,0.306525,0.30369999999999997,0.08605000000000002,4
201105,0.296325,0.32847499999999996,0.3752,-0.07887499999999997,4
201106,0.31873999999999997,0.30168,0.37956,-0.06082000000000004,5
201107,0.39695,0.313175,0.2899,0.10705000000000003,4
201108,0.331475,0.23,0.438525,-0.10704999999999998,4
201109,0.31436000000000003,0.26808,0.41753999999999997,-0.10317999999999994,5
201110,0.38495,0.260775,0.354175,0.030774999999999997,4
201111,0.398875,0.2923,0.308725,0.09014999999999995,4
201112,0.37223,0.293918,0.333764,0.038466,5
201201,0.4841185,0.32367999999999997,0.19215,0.2919685,4
201202,0.45462749999999996,0.2968525,0.2485075,0.20611999999999997,4
201203,0.4347036,0.29266000000000003,0.2726326,0.16207100000000002,5
201204,0.3128345,0.3356705,0.35149474999999997,-0.03866024999999995,4
201205,0.28572960000000003,0.3198788,0.39439199999999996,-0.10866239999999994,5
201206,0.3076135,0.28791125,0.40447525,-0.09686175000000002,4
201207,0.28292525,0.33463825,0.382436,-0.09951074999999998,4
201208,0.36088139999999996,0.34139559999999997,0.297723,0.06315839999999995,5
201209,0.35779325,0.30148225,0.34072475,0.017068499999999986,4
201210,0.305855,0.294878,0.399267,-0.093412,4
201211,0.3596022,0.23068499999999997,0.4097124,-0.050110199999999994,5
201212,0.44064575,0.2600985,0.29925575,0.14139000000000002,4
201301,0.458974,0.2629892,0.27803680000000003,0.18093719999999996,5
201302,0.38799425,0.293543,0.318463,0.06953124999999999,4
201303,0.384538,0.28414725,0.33131475,0.05322325,4
201304,0.27485525,0.30092775,0.424217,-0.14936175000000002,4
201305,0.39041380000000003,0.3217676,0.2878188,0.10259500000000005,5
201306,0.32543775,0.3278805,0.34668175,-0.021243999999999985,4
201307,0.45945525,0.3256585,0.2148865,0.24456874999999997,4
201308,0.34423940000000003,0.3489258,0.30683439999999995,0.03740500000000008,5
201309,0.4055305,0.304104,0.29036525,0.11516525,4
201310,0.43922439999999996,0.3055466,0.2552288,0.18399559999999998,5
201311,0.41593775,0.316538,0.2675245,0.14841325,4
201312,0.466051,0.29352075,0.240428,0.225623,4
201401,0.3920048,0.3434508,0.2645442,0.12746059999999998,5
201402,0.37483625,0.3559625,0.26920125,0.10563499999999998,4
201403,0.3744845,0.355001,0.2705145,0.10397,4
201404,0.31388475,0.38320025,0.30291475,0.01096999999999998,4
201405,0.3162746,0.423074,0.26065119999999997,0.055623400000000045,5
201406,0.39147225,0.38679775,0.22172975,0.16974250000000002,4
201407,0.33852479999999996,0.3803164,0.281159,0.05736579999999997,5
201408,0.42182425,0.3080035,0.2701725,0.15165175000000003,4
201409,0.42282975,0.32272075,0.2544495,0.16838025,4
201410,0.4340312,0.2876704,0.2782986,0.1557326,5
201411,0.529705,0.2728455,0.19744925,0.33225574999999996,4
201412,0.443434,0.32150725,0.235059,0.208375,4
201501,0.44033059999999996,0.3163008,0.2433688,0.19696179999999996,5
201502,0.41971975,0.35295425,0.227326,0.19239375,4
201503,0.34247249999999996,0.39596725,0.26156050000000003,0.08091199999999993,4
201504,0.31694100000000003,0.43500079999999997,0.24805799999999997,0.06888300000000006,5
201505,0.26503575,0.47662424999999997,0.25834025,0.006695500000000021,4
201506,0.27085325,0.44619025,0.282957,-0.012103750000000024,4
201507,0.2699508,0.42244919999999997,0.3076198,-0.03766900000000001,5
201508,0.28522625,0.36625375,0.34852,-0.06329374999999998,4
201509,0.3310465,0.3576845,0.311269,0.019777500000000003,4
201510,0.3497382,0.3705346,0.279727,0.0700112,5
201511,0.34100400000000003,0.41352525,0.24547075000000002,0.09553325000000001,4
201512,0.2666368,0.442222,0.2911416,-0.024504799999999993,5
201601,0.22836800000000002,0.34049075,0.43114125000000003,-0.20277325000000002,4
201602,0.26385225,0.3545655,0.38158225,-0.11773,4
201603,0.3205868,0.4195004,0.2599126,0.06067420000000001,5
201604,0.3020285,0.45077425,0.24719724999999998,0.05483125,4
201605,0.1995705,0.48763575,0.312794,-0.1132235,4
201606,0.2684574,0.4054806,0.3260622,-0.05760480000000001,5
201607,0.336497,0.39798900000000004,0.26551425,0.07098274999999998,4
201608,0.31517225,0.41100825,0.27381925,0.04135299999999997,4
201609,0.2702214,0.387128,0.3426308,-0.07240940000000001,5
201610,0.25690175,0.40931850000000003,0.33377975,-0.076878,4
201611,0.3976805,0.321559,0.2807605,0.11691999999999997,4
201612,0.44345939999999995,0.27891879999999997,0.27762159999999997,0.16583779999999998,5
